label,n_before,n_deduped,n_after,div_before,div_after,kept_pct
ocp:play,1668203,1654278,25,0.9612,0.9998,0.0
ovos-skill-weather.openvoiceos:hourly_forecast.intent,21666,20756,25,0.9028,0.9787,0.1
ovos-skill-wallpapers.openvoiceos:wallpaper.about.intent,17169,15818,25,0.7501,0.9146,0.1
ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,13188,13184,25,0.9018,0.9889,0.2
ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,11129,11121,25,0.9063,0.9921,0.2
ovos-skill-count.openvoiceos:count_to_N.intent,10950,10950,25,0.8014,0.7754,0.2
common_query:common_query,10877,10839,25,0.9885,0.9991,0.2
ovos-skill-date-time.openvoiceos:date.future.weekend.intent,9431,9406,25,0.8369,0.9901,0.3
ovos-skill-alerts.openvoiceos:missed_alerts.intent,6768,6288,25,0.9432,1.0,0.4
ovos-skill-weather.openvoiceos:hourly_temperature.intent,6340,6340,25,0.851,0.9773,0.4
ovos-skill-weather.openvoiceos:daily_forecast.intent,4651,4542,25,0.9602,0.999,0.5
ovos-skill-wallpapers.openvoiceos:picture.about.intent,4248,2648,25,0.8431,0.9834,0.6
ovos-skill-date-time.openvoiceos:date.last.weekend.intent,3624,3607,25,0.8813,0.9955,0.7
ovos-skill-wallpapers.openvoiceos:wallpaper.random.intent,3512,3236,25,0.796,0.9803,0.7
ovos-skill-wordnet.openvoiceos:definition.intent,3277,3265,25,0.9837,0.9997,0.8
ovos-skill-date-time.openvoiceos:what.time.will.it.be.intent,2598,2360,25,0.8705,0.9485,1.0
ovos-skill-iss-location.openvoiceos:when_iss.intent,2026,1898,25,0.8915,0.9479,1.2
ovos-skill-date-time.openvoiceos:what.time.is.it.intent,1963,1948,25,0.9559,0.9573,1.3
ovos-skill-weather.openvoiceos:low_temperature.intent,1866,1862,25,0.9509,0.9946,1.3
ovos-skill-weather.openvoiceos:high_temperature.intent,1746,1738,25,0.9101,0.9792,1.4
ovos-skill-days-in-history.openvoiceos:today_in_history.intent,1492,1492,25,0.8393,0.9812,1.7
ovos-skill-dictation.openvoiceos:start_dictation.intent,1481,1454,25,0.9443,0.9891,1.7
ovos-skill-weather.openvoiceos:N_days_forecast.intent,1443,1435,25,0.9482,0.997,1.7
ovos-skill-news.openvoiceos:news.intent,1393,1387,25,0.9558,1.0,1.8
